product_name,product_group,price_per_unit,tier,seller,date,margin
platano tabasco,platano,29.9,supermarket,lacomer,2026-02-13,
papaya maradol,papaya,39.9,supermarket,lacomer,2026-02-13,
melon chino,melon,32.9,supermarket,lacomer,2026-02-13,
manzana golden nacional,manzana,59.9,supermarket,lacomer,2026-02-13,
melón pure perfection,melon,69.7,supermarket,lacomer,2026-02-13,
limon sin semilla,limon,46.9,supermarket,lacomer,2026-02-13,
limon agrio con semilla,limon,59.9,supermarket,lacomer,2026-02-13,
naranja valencia,naranja,27.9,supermarket,lacomer,2026-02-13,
naranja sin semilla,naranja,59.9,supermarket,lacomer,2026-02-13,
limon real,limon,57.1,supermarket,lacomer,2026-02-13,
espinaca,espinaca,221.5,supermarket,lacomer,2026-02-13,
manzana golden bolsa,manzana,39.9,supermarket,lacomer,2026-02-13,
espinaca popeye,espinaca,209.154929577465,supermarket,lacomer,2026-02-13,
zanahoria rallada,zanahoria,95.5882352941176,supermarket,lacomer,2026-02-13,
espinaca,espinaca,165,supermarket,lacomer,2026-02-13,
espinaca tierna,espinaca,309.5,supermarket,lacomer,2026-02-13,
jitomate roma,jitomate,49.9,supermarket,lacomer,2026-02-13,
kale y espinaca hidroponica,espinaca,186.333333333333,supermarket,lacomer,2026-02-13,
plátano tabasco orgánico,platano,36.9,supermarket,lacomer,2026-02-13,
cebolla blanca organica,cebolla,79.4285714285714,supermarket,lacomer,2026-02-13,
espinaca organica,espinaca,438.333333333333,supermarket,lacomer,2026-02-13,
tomate verde organico,tomate,107.555555555556,supermarket,lacomer,2026-02-13,
jitomate saladet,jitomate,29.9,supermarket,lacomer,2026-02-13,
aguacate hass,aguacate,59.9,supermarket,lacomer,2026-02-13,
calabaza italiana,calabaza,34.9,supermarket,lacomer,2026-02-13,
tomate verde sin cascara,tomate,49.9,supermarket,lacomer,2026-02-13,
chile serrano,chile serrano,39.9,supermarket,lacomer,2026-02-13,
chayote sin espinas,chayote,28.9,supermarket,lacomer,2026-02-13,
jitomate bola,jitomate,24.9,supermarket,lacomer,2026-02-13,
tomate verde con cascara,tomate,49.9,supermarket,lacomer,2026-02-13,
calabaza zuchini amarilla,calabaza,79.9,supermarket,lacomer,2026-02-13,
chayote con espinas,chayote,65.2,supermarket,lacomer,2026-02-13,
calabaza spaguetti,calabaza,69.9,supermarket,lacomer,2026-02-13,
aguacate hass especial,aguacate,115,supermarket,lacomer,2026-02-13,
calabaza kabocha,calabaza,69.9,supermarket,lacomer,2026-02-13,
aguacate criollo,aguacate,88.9,supermarket,lacomer,2026-02-13,
espinaca,espinaca,38.9285714285714,supermarket,lacomer,2026-02-13,
papa blanca alfa,papa,39.9,supermarket,walmart,2026-02-13,
cebolla blanca,cebolla,27.9,supermarket,walmart,2026-02-13,
cebolla blanca en malla,cebolla,23.5,supermarket,walmart,2026-02-13,
papa en malla,papa,25.9,supermarket,walmart,2026-02-13,
papa alfa chica,papa,45.9,supermarket,walmart,2026-02-13,
chile serrano,chile serrano,59,supermarket,walmart,2026-02-13,
jitomate saladet,jitomate,17.9,supermarket,walmart,2026-02-13,
aguacate hass,aguacate,39.9,supermarket,walmart,2026-02-13,
papa blanca alfa,papa,39.9,supermarket,walmart,2026-02-13,
jitomate beef gourmet,jitomate,69,supermarket,walmart,2026-02-13,
chayote sin espinas,chayote,34.9,supermarket,walmart,2026-02-13,
aguacate hass orgánico marketside en malla,aguacate,187.5,supermarket,walmart,2026-02-13,
papa alfa chica,papa,45.9,supermarket,walmart,2026-02-13,
jitomate saladet orgánico marketside,jitomate,104.222222222222,supermarket,walmart,2026-02-13,
tomate verde orgánico campo vivo,tomate,120,supermarket,walmart,2026-02-13,
zanahoria,zanahoria,13.9,supermarket,walmart,2026-02-13,
zanahoria selecta en charola,zanahoria,59.2511013215859,supermarket,walmart,2026-02-13,
plátano criollo,platano,38,agroecological,mercado_alternativo,2026-02-13,
aguacate hass,aguacate,81,agroecological,mercado_alternativo,2026-02-13,
chayote,chayote,47,agroecological,mercado_alternativo,2026-02-13,
calabaza italiana,calabaza,42,agroecological,mercado_alternativo,2026-02-13,
zanahoria,zanahoria,69,agroecological,mercado_alternativo,2026-02-13,
limón sin semilla,limon,,agroecological,mercado_alternativo,2026-02-13,
cebolla blanca (mediana),cebolla,35,agroecological,mercado_alternativo,2026-02-13,
naranja,naranja,,agroecological,mercado_alternativo,2026-02-13,
papa,papa,47,agroecological,mercado_alternativo,2026-02-13,
espinaca,espinaca,64.2857142857143,agroecological,mercado_alternativo,2026-02-13,
papaya,papaya,93,agroecological,dilmun,2026-02-13,
limón sin semilla,limon,40,agroecological,dilmun,2026-02-13,
limón con semilla,limon,36,agroecological,dilmun,2026-02-13,
plátano tabasco,platano,32.8,agroecological,dilmun,2026-02-13,
melón,melon,49.6666666666667,agroecological,dilmun,2026-02-13,
manzana golden importada,manzana,72,agroecological,dilmun,2026-02-13,
zanahoria orgánica,zanahoria,86.6666666666667,agroecological,dilmun,2026-02-13,
zanahoria,zanahoria,22.6,agroecological,dilmun,2026-02-13,
aguacate hass agroecológico,aguacate,102,agroecological,dilmun,2026-02-13,
calabaza italiana,calabaza,32.6,agroecological,dilmun,2026-02-13,
cebolla blanca orgánica,cebolla,84.2857142857143,agroecological,dilmun,2026-02-13,
cebolla blanca,cebolla,21.2,agroecological,dilmun,2026-02-13,
chayote sin espinas,chayote,40,agroecological,dilmun,2026-02-13,
jitomate saladette agroecológico,jitomate,52,agroecological,dilmun,2026-02-13,
tomate verde orgánico,tomate,113.333333333333,agroecological,dilmun,2026-02-13,
tomate verde limpio,tomate,24,agroecological,dilmun,2026-02-13,
espinacas,espinaca,46.4285714285714,agroecological,dilmun,2026-02-13,
espinaca orgánica lista para comer,espinaca,438.888888888889,agroecological,dilmun,2026-02-13,
papa orgánica,papa,102,agroecological,dilmun,2026-02-13,
papa alfa,papa,35.2,agroecological,dilmun,2026-02-13,
chile serrano,chile serrano,68,agroecological,dilmun,2026-02-13,
aguacate hass,aguacate,134,agroecological,consuma,2026-02-13,
calabacitas,calabaza,48,agroecological,consuma,2026-02-13,
cebolla blanca temoaya,cebolla,88.888888888889,agroecological,consuma,2026-02-13,
chayote,chayote,61.5384615384616,agroecological,consuma,2026-02-13,
chile serrano,chile serrano,170,agroecological,consuma,2026-02-13,
espinaca,espinaca,89.2857142857143,agroecological,consuma,2026-02-13,
jitomate,jitomate,56,agroecological,consuma,2026-02-13,
jitomate bola,jitomate,86,agroecological,consuma,2026-02-13,
limón temoaya,limon,56,agroecological,consuma,2026-02-13,
limón amarillo temoaya,limon,114,agroecological,consuma,2026-02-13,
melón temoaya,melon,58.6666666666667,agroecological,consuma,2026-02-13,
naranja,naranja,76,agroecological,consuma,2026-02-13,
papa blanca,papa,48,agroecological,consuma,2026-02-13,
papaya,papaya,55.5555555555555,agroecological,consuma,2026-02-13,
plátano tabasco temoaya,platano,40,agroecological,consuma,2026-02-13,
tomatillo / tomate temoaya,tomate,50,agroecological,consuma,2026-02-13,
zanahoria,zanahoria,38,agroecological,consuma,2026-02-13,
aguacate,aguacate,147.058823529412,agroecological,elbuencampo,2026-02-13,
limón,limon,72,agroecological,elbuencampo,2026-02-13,
plátano tabasco,platano,60,agroecological,elbuencampo,2026-02-13,
naranja,naranja,60,agroecological,elbuencampo,2026-02-13,
papaya maradol,papaya,83.3333333333333,agroecological,elbuencampo,2026-02-13,
melón anara,melon,53.3333333333334,agroecological,elbuencampo,2026-02-13,
aguacate,aguacate,147.058823529412,agroecological,elbuencampo,2026-02-13,
jitomate,jitomate,60,agroecological,elbuencampo,2026-02-13,
cebolla blanca,cebolla,50,agroecological,elbuencampo,2026-02-13,
zanahoria,zanahoria,50,agroecological,elbuencampo,2026-02-13,
papa,papa,70,agroecological,elbuencampo,2026-02-13,
chile serrano,chile serrano,180,agroecological,elbuencampo,2026-02-13,
espinaca,espinaca,100,agroecological,elbuencampo,2026-02-13,
calabaza,calabaza,70,agroecological,elbuencampo,2026-02-13,
tomate verde,tomate,60,agroecological,elbuencampo,2026-02-13,
