product_name,price,quantity,unit,date,seller
Platano Tabasco,29.9,1,kg,2026-02-13,lacomer
Papaya Maradol,39.9,1,kg,2026-02-13,lacomer
Fresa,79.9,1,pza,2026-02-13,lacomer
Piña Miel,29.9,1,kg,2026-02-13,lacomer
Manzana Royal Gala,69.9,1,kg,2026-02-13,lacomer
Uva Blanca Sin Semilla,129,1,kg,2026-02-13,lacomer
Guayaba,49.9,1,kg,2026-02-13,lacomer
Melon Chino,32.9,1,kg,2026-02-13,lacomer
Pera De Anjou,58.9,1,kg,2026-02-13,lacomer
Manzana Golden Nacional,59.9,1,kg,2026-02-13,lacomer
Manzana Red Delicious,49.9,1,kg,2026-02-13,lacomer
Manzana Granny,69.9,1,kg,2026-02-13,lacomer
Kiwi,110,1,kg,2026-02-13,lacomer
Platano Macho,44.9,1,kg,2026-02-13,lacomer
Manzana Delicious,89.9,1,kg,2026-02-13,lacomer
Sandia Charleston,18.5,1,kg,2026-02-13,lacomer
Zarzamora,59.9,1,pza,2026-02-13,lacomer
Platano Dominico,59.9,1,kg,2026-02-13,lacomer
Manzana Ambrosia,59.9,1,kg,2026-02-13,lacomer
Sandia Baby,29.9,1,kg,2026-02-13,lacomer
Uva Blanca Sin Semilla Empacada,139,1,kg,2026-02-13,lacomer
Durazno Melocoton,110,1,kg,2026-02-13,lacomer
Sandia Sin Semilla,24.9,1,kg,2026-02-13,lacomer
Mango Paraiso,49.9,1,kg,2026-02-13,lacomer
Pera Bosc,59.9,1,kg,2026-02-13,lacomer
Uva Roja Sin Semilla,129,1,kg,2026-02-13,lacomer
Pera Red De Anjou,59.9,1,kg,2026-02-13,lacomer
Manzana Fuji,70.5,1,kg,2026-02-13,lacomer
Cereza,189,1,kg,2026-02-13,lacomer
Melon Valenciano,49.9,1,kg,2026-02-13,lacomer
Manzana Rockit,69.9,907,g,2026-02-13,lacomer
Ciruela Nubiana,110,1,kg,2026-02-13,lacomer
Mamey,46.9,1,kg,2026-02-13,lacomer
Tejocote,62.1,1,kg,2026-02-13,lacomer
Higos,129.8,1,kg,2026-02-13,lacomer
Manzana Pink Lady,69.9,1,kg,2026-02-13,lacomer
Ciruela Moscatel,89.9,1,kg,2026-02-13,lacomer
Caña,29.2,1,kg,2026-02-13,lacomer
Granada China,259,1,kg,2026-02-13,lacomer
Pera Asiatica,69.9,1,kg,2026-02-13,lacomer
Uva Negra Sin Semilla,113.6,1,kg,2026-02-13,lacomer
Chicozapote,90.5,1,kg,2026-02-13,lacomer
Zapote Negro,54.1,1,kg,2026-02-13,lacomer
Manzana Cosmic Crisp,69.9,1,kg,2026-02-13,lacomer
Maracuya,83.3,1,kg,2026-02-13,lacomer
Guanabana,134.8,1,kg,2026-02-13,lacomer
Calabaza De Castilla,25.9,1,kg,2026-02-13,lacomer
Chirimoya,92,1,kg,2026-02-13,lacomer
Coco De Agua,49.9,1,pza,2026-02-13,lacomer
Platano Morado,55,1,kg,2026-02-13,lacomer
Carambolo,99.5,1,kg,2026-02-13,lacomer
Rambutan,145,1,kg,2026-02-13,lacomer
Curuba,80.3,1,kg,2026-02-13,lacomer
Uva Bicolor,119,900,g,2026-02-13,lacomer
Pitahaya,189,1,kg,2026-02-13,lacomer
Calabaza Brujita,83.8,1,kg,2026-02-13,lacomer
Calabaza Fantasia,83.8,1,kg,2026-02-13,lacomer
Calabaza Hallowen,83.8,1,kg,2026-02-13,lacomer
Calabaza Pay,83.8,1,kg,2026-02-13,lacomer
Ciruela Flavor Grenade,214.1,1,kg,2026-02-13,lacomer
Ciruela Gold Rush,214.1,1,kg,2026-02-13,lacomer
Ciruela Midnight Rose,214.1,1,kg,2026-02-13,lacomer
Ciruela Plum King Kong,198,1,kg,2026-02-13,lacomer
Ciruela Roja Bolsa,148.5,907,g,2026-02-13,lacomer
Kiwi Rojo,89.9,454,g,2026-02-13,lacomer
Manzana Autumn Glory,55.3,1,kg,2026-02-13,lacomer
Manzana Lemonade,98.5,907,g,2026-02-13,lacomer
Melón Pure Perfection,69.7,1,kg,2026-02-13,lacomer
Limon Sin Semilla,46.9,1,kg,2026-02-13,lacomer
Limon Agrio Con Semilla,59.9,1,kg,2026-02-13,lacomer
Naranja Valencia,27.9,1,kg,2026-02-13,lacomer
Mandarina Clementina Malla,89.9,1,pza,2026-02-13,lacomer
Limon Eureka,65.9,1,kg,2026-02-13,lacomer
Toronja Sangria,29.9,1,kg,2026-02-13,lacomer
Mandarina,49.9,1,kg,2026-02-13,lacomer
Naranja Sin Semilla,59.9,1,kg,2026-02-13,lacomer
Naranja Pink Navel Malla,79.9,1,pza,2026-02-13,lacomer
Limon Real,57.1,1,kg,2026-02-13,lacomer
Naranja Japonesa,29.9,1,pza,2026-02-13,lacomer
Espinaca Baby,36.8,125,g,2026-02-13,lacomer
Blue Berry,69.9,170,g,2026-02-13,lacomer
Espinaca Baby,57.8,250,g,2026-02-13,lacomer
Frambuesa,69.9,1,pza,2026-02-13,lacomer
Champiñon Entero,39.9,225,g,2026-02-13,lacomer
Pimiento De Colores,43.9,3,pza,2026-02-13,lacomer
Espinaca,44.3,200,g,2026-02-13,lacomer
Corazon De Lechuga Orejona,48.4,750,g,2026-02-13,lacomer
Champiñon Rebanado,39.9,225,g,2026-02-13,lacomer
Tomatoes Glorys,56.9,283,g,2026-02-13,lacomer
Lechuga Italiana,41.4,1,pza,2026-02-13,lacomer
Manzana Golden Bolsa,39.9,1,kg,2026-02-13,lacomer
Jitomate Cherry,46.3,380,g,2026-02-13,lacomer
Tomatoes Cherubs,56.9,283,g,2026-02-13,lacomer
Espinaca Popeye,59.4,284,g,2026-02-13,lacomer
Lechuga Francesa,41.4,1,pza,2026-02-13,lacomer
Zanahoria Baby,36.5,340,g,2026-02-13,lacomer
Esparrago,125,450,g,2026-02-13,lacomer
Lechuga Mini Romaine,49,2,pza,2026-02-13,lacomer
Espinaca Baby Popeye,61.7,227,g,2026-02-13,lacomer
Arugula,47.6,120,g,2026-02-13,lacomer
Lechuga Sucrine,49.7,270,g,2026-02-13,lacomer
Lechuga Sucrine,66.3,500,g,2026-02-13,lacomer
Lechuga Baby,64.6,6,pza,2026-02-13,lacomer
Zanahoria Baby,35.2,340,g,2026-02-13,lacomer
Champiñon Jumbo,85.9,500,g,2026-02-13,lacomer
Lechuga Mini Francesa,49.5,2,pza,2026-02-13,lacomer
Champiñon Boton,42.9,250,g,2026-02-13,lacomer
Tomatoes Constellation,106.3,467,g,2026-02-13,lacomer
Corazon De Lechuga,49.4,3,pza,2026-02-13,lacomer
Kale,48.4,150,g,2026-02-13,lacomer
Palito De Apio,56.2,800,g,2026-02-13,lacomer
Zanahoria Baby,21.9,150,g,2026-02-13,lacomer
Zanahoria Rallada,32.5,340,g,2026-02-13,lacomer
Germinado De Alfalfa,50.6,200,g,2026-02-13,lacomer
Lechuga Trio,43.7,1,pza,2026-02-13,lacomer
Florete De Brocoli,94.3,1360,g,2026-02-13,lacomer
Albahaca,39.9,50,g,2026-02-13,lacomer
Champiñon Combo,79.9,500,g,2026-02-13,lacomer
Seta,35,250,g,2026-02-13,lacomer
Jicama,47.9,454,g,2026-02-13,lacomer
Cremini Entero,39.9,225,g,2026-02-13,lacomer
Kiwi Dorado,95.7,1,pza,2026-02-13,lacomer
Super Food,48.7,200,g,2026-02-13,lacomer
Lechuga Francesa Hidroponica,39.4,1,pza,2026-02-13,lacomer
Cremini Rebanado,39.9,225,g,2026-02-13,lacomer
Cilantro,42.7,50,g,2026-02-13,lacomer
Arugula Baby,61.9,120,g,2026-02-13,lacomer
Portabella Entero,71.9,500,g,2026-02-13,lacomer
Lechuga Italiana Hidroponica,39.4,1,pza,2026-02-13,lacomer
Perejil,42.7,50,g,2026-02-13,lacomer
Menta,39.9,50,g,2026-02-13,lacomer
Espinaca,49.5,300,g,2026-02-13,lacomer
Shiitake Gourmet,59.9,160,g,2026-02-13,lacomer
Eneldo,39.9,50,g,2026-02-13,lacomer
Espinaca Tierna,61.9,200,g,2026-02-13,lacomer
Chicharo Chino,87,365,g,2026-02-13,lacomer
Romero,39.9,50,g,2026-02-13,lacomer
Tomillo,39.9,50,g,2026-02-13,lacomer
Huitlacoche Selección,25.9,250,g,2026-02-13,lacomer
Jitomate Roma,49.9,1,kg,2026-02-13,lacomer
Higo Black Mission,103.2,1,pza,2026-02-13,lacomer
Elote Amarillo,169,4,pza,2026-02-13,lacomer
Epazote,38.9,50,g,2026-02-13,lacomer
Elote Amarillo,69.9,700,g,2026-02-13,lacomer
Germinado De Alfalfa Con Brocoli,50.6,200,g,2026-02-13,lacomer
Baby Bella,59.9,350,g,2026-02-13,lacomer
Corazon De Lechuga Orejona,58.7,3,pza,2026-02-13,lacomer
Coliflor Naranja,49.9,1100,g,2026-02-13,lacomer
Germinado De Alfalfa Con Amaranto,50.6,200,g,2026-02-13,lacomer
Tomatoes Comets,59.8,283,g,2026-02-13,lacomer
Germinado De Alfalfa Con Betabel,50.6,200,g,2026-02-13,lacomer
Salvia,39.9,50,g,2026-02-13,lacomer
Germinado De Alfalfa Con Chamoy,38.6,80,g,2026-02-13,lacomer
Endivia,98.5,400,g,2026-02-13,lacomer
Kale Y Espinaca Hidroponica,55.9,300,g,2026-02-13,lacomer
Shot Flushot,27.9,60,ml,2026-02-13,lacomer
Jugo De Naranja Natural,41.6,350,ml,2026-02-13,lacomer
Germinado De Alfalfa Con Rabano,50.6,200,g,2026-02-13,lacomer
Germinado De Alfalfa Con Limon Y Chile,38.6,80,g,2026-02-13,lacomer
Coliflor Verde,49.9,1,pza,2026-02-13,lacomer
Shot Fatloss,27.9,60,ml,2026-02-13,lacomer
Jugo Zanahoria,43.9,350,ml,2026-02-13,lacomer
Mejorana,39.9,50,g,2026-02-13,lacomer
Guarnicion Mixta,46.3,500,g,2026-02-13,lacomer
Plátano Tabasco Orgánico,36.9,1,kg,2026-02-13,lacomer
Corazon De Apio Organico,35.6,450,g,2026-02-13,lacomer
Palitos De Apio Organico,31.3,1,pza,2026-02-13,lacomer
Ajo Organico,45.6,120,g,2026-02-13,lacomer
Jitomate Cherry Organico,52.4,280,g,2026-02-13,lacomer
Mini Pepino Persa Organico,49.7,400,g,2026-02-13,lacomer
Mora Azul Organica,93.7,170,g,2026-02-13,lacomer
Manzana Royal Gala Organica,98.5,907,g,2026-02-13,lacomer
Hoja De Lechuga Orejona Organica,54.6,250,g,2026-02-13,lacomer
Cebolla Blanca Organica,55.6,700,g,2026-02-13,lacomer
Espinaca Organica,78.9,180,g,2026-02-13,lacomer
Jitomate Uva Organico,54,280,g,2026-02-13,lacomer
Tomate Verde Organico,48.4,450,g,2026-02-13,lacomer
Datil Medjool Organico,240,340,g,2026-02-13,lacomer
Corazon De Apio Organico,32.4,450,g,2026-02-13,lacomer
Ensalada Mixta Organica,82.5,180,g,2026-02-13,lacomer
Zarzamora Organica,76.2,170,g,2026-02-13,lacomer
Frambuesa Organica,93.7,170,g,2026-02-13,lacomer
Manzana Granny Smith Organicas,98.5,907,g,2026-02-13,lacomer
Jamaica Organica,77.1,100,g,2026-02-13,lacomer
Manzana Gala Organica,109.1,1,pza,2026-02-13,lacomer
Jitomate Saladet,29.9,1,kg,2026-02-13,lacomer
Aguacate Hass,59.9,1,kg,2026-02-13,lacomer
Calabaza Italiana,34.9,1,kg,2026-02-13,lacomer
Pepino Americano,26.9,1,kg,2026-02-13,lacomer
Tomate Verde Sin Cascara,49.9,1,kg,2026-02-13,lacomer
Chile Serrano,39.9,1,kg,2026-02-13,lacomer
Chayote Sin Espinas,28.9,1,kg,2026-02-13,lacomer
