product_name,price,quantity,unit,date,seller
Rábano sandía,35,500,manojo,2026-02-13,mercado_alternativo
Rábano negro,35,500,manojo,2026-02-13,mercado_alternativo
Colinabo morado,29,1,pza,2026-02-13,mercado_alternativo
Col china,28,1,pza,2026-02-13,mercado_alternativo
Cebollin,22,1,manojo,2026-02-13,mercado_alternativo
Pulpa de Noni,52,500,g,2026-02-13,mercado_alternativo
Nanche congelado,52,400,g,2026-02-13,mercado_alternativo
Fresa congelada,57,350,g,2026-02-13,mercado_alternativo
Zarzamora congelada,57,200,g,2026-02-13,mercado_alternativo
Piña (chica),57,1,pza,2026-02-13,mercado_alternativo
Plátano criollo,38,1,kg,2026-02-13,mercado_alternativo
Aguacate Hass,81,1,kg,2026-02-13,mercado_alternativo
Camote amarillo,98,1,kg,2026-02-13,mercado_alternativo
Camote Morado,98,1,kg,2026-02-13,mercado_alternativo
Alcachofa,42,1,pza,2026-02-13,mercado_alternativo
Chayote,47,1,kg,2026-02-13,mercado_alternativo
Cilantro,23,1,manojo,2026-02-13,mercado_alternativo
Zanahorias de colores con rabo,75,1,manojo,2026-02-13,mercado_alternativo
Kale,42,270,manojo,2026-02-13,mercado_alternativo
Hierba buena,24,150,g,2026-02-13,mercado_alternativo
Bulbo de Hinojo,62,1,pza,2026-02-13,mercado_alternativo
Cebollin,37,270,manojo,2026-02-13,mercado_alternativo
Calabaza italiana,42,1,kg,2026-02-13,mercado_alternativo
Calabaza Bola,42,1,kg,2026-02-13,mercado_alternativo
Arugula,48,270,manojo,2026-02-13,mercado_alternativo
Microgreens,125,55,g,2026-02-13,mercado_alternativo
Microgreens (DETOXMIX),125,55,g,2026-02-13,mercado_alternativo
Microgreens (VITALXMIX),125,50,g,2026-02-13,mercado_alternativo
Microgreens (PROTEINMIX),115,55,g,2026-02-13,mercado_alternativo
Pulpa de Mango,200,1,kg,2026-02-13,mercado_alternativo
Pulpa de Guanabana,270,1,kg,2026-02-13,mercado_alternativo
Pulpa de yaca,110,500,g,2026-02-13,mercado_alternativo
Pulpa de mango,88,500,g,2026-02-13,mercado_alternativo
Pulpa de maracuyá I 500 gr,98,1,,2026-02-13,mercado_alternativo
Manzanilla,21,100,g,2026-02-13,mercado_alternativo
Acelga Verde,21,150,g,2026-02-13,mercado_alternativo
Perejil chino,19,1,manojo,2026-02-13,mercado_alternativo
Kale rizado verde,21,100,g,2026-02-13,mercado_alternativo
Perejil,14,1,manojo,2026-02-13,mercado_alternativo
Colinabo,29,1,pza,2026-02-13,mercado_alternativo
Corazón de lechuga ROJO,18,1,pza,2026-02-13,mercado_alternativo
Zanahoria,69,1,kg,2026-02-13,mercado_alternativo
Cebolla Cambray Morada,21,250,g,2026-02-13,mercado_alternativo
Corazón de lechuga VERDE,20,1,pza,2026-02-13,mercado_alternativo
Cebolla morada con rabo (chica),35,1,kg,2026-02-13,mercado_alternativo
Kale dinosaurio,22,150,manojo,2026-02-13,mercado_alternativo
Limón sin semilla,20,1,,2026-02-13,mercado_alternativo
Lavanda,25,1,manojo,2026-02-13,mercado_alternativo
Mandarina satsuma,50,1,,2026-02-13,mercado_alternativo
Toronja,50,1,kg,2026-02-13,mercado_alternativo
Lechuga Orejona,24,1,,2026-02-13,mercado_alternativo
Acelga Arcoíris,21,150,g,2026-02-13,mercado_alternativo
Brócoli Romanesco,35,1,,2026-02-13,mercado_alternativo
Cebolla blanca (mediana),35,1,kg,2026-02-13,mercado_alternativo
Lechuga Sangría,24,1,pza,2026-02-13,mercado_alternativo
Lechuga Italiana,24,1,pza,2026-02-13,mercado_alternativo
Cebolla Cambray,21,250,g,2026-02-13,mercado_alternativo
Mamey,43,450,pza,2026-02-13,mercado_alternativo
Menta,13,1,manojo,2026-02-13,mercado_alternativo
Naranja,45,1,,2026-02-13,mercado_alternativo
Papa,47,1,kg,2026-02-13,mercado_alternativo
Nopal sin espina,15,5,pza,2026-02-13,mercado_alternativo
Jengibre,36,200,g,2026-02-13,mercado_alternativo
Plátano macho,48,1,kg,2026-02-13,mercado_alternativo
Zarzamora,75,170,domo,2026-02-13,mercado_alternativo
Fresa,85,450,domo,2026-02-13,mercado_alternativo
Frambuesa,75,170,domo,2026-02-13,mercado_alternativo
Blueberry,75,170,domo,2026-02-13,mercado_alternativo
Plátano dominico,40,1,kg,2026-02-13,mercado_alternativo
Rábano rojo,18,1,manojo,2026-02-13,mercado_alternativo
Poro,15,1,pza,2026-02-13,mercado_alternativo
Kale,36,1,manojo,2026-02-13,mercado_alternativo
Haba en vaina,29,500,g,2026-02-13,mercado_alternativo
Espinaca,18,1,manojo,2026-02-13,mercado_alternativo
Col,35,1,pza,2026-02-13,mercado_alternativo
Chícharo en vaina,52,500,g,2026-02-13,mercado_alternativo
Bolsa de sopa de verduras,35,500,g,2026-02-13,mercado_alternativo
Brócoli,25,1,pza,2026-02-13,mercado_alternativo
Betabel,9,1,pza,2026-02-13,mercado_alternativo
Ajo Italiano,35,1,g,2026-02-13,mercado_alternativo
Apio,37,1,pza,2026-02-13,mercado_alternativo
Perejil,19,1,manojo,2026-02-13,mercado_alternativo
Cilantro,14,1,manojo,2026-02-13,mercado_alternativo
Romero,20,1,,2026-02-13,mercado_alternativo
Epazote,18,1,manojo,2026-02-13,mercado_alternativo
Albahaca,25,1,manojo,2026-02-13,mercado_alternativo
Setas fresca,47,500,g,2026-02-13,mercado_alternativo
Arugula baby,21,100,g,2026-02-13,mercado_alternativo
Golden berry o uchuva orgánica fresco Rancho Tepetzintla,112,170,g,2026-02-13,dilmun
Kit de cubetas de Hagamos Composta: suscripción,350,,g,2026-02-13,dilmun
Papaya,93,1,kg,2026-02-13,dilmun
Naranja para jugo,39,1,kg,2026-02-13,dilmun
Limón sin semilla,20,500,g,2026-02-13,dilmun
Limón con semilla,18,500,g,2026-02-13,dilmun
Toronja,39,1,kg,2026-02-13,dilmun
Limón eureka,36,500,g,2026-02-13,dilmun
Guayaba amarilla,32,500,g,2026-02-13,dilmun
Mango manila,85,1,kg,2026-02-13,dilmun
Plátano tabasco,32.8,1,kg,2026-02-13,dilmun
Sandía personal,60,1,kg,2026-02-13,dilmun
Melón,74.5,1,pza,2026-02-13,dilmun
Piña miel,60,1,kg,2026-02-13,dilmun
COMBO INDIVIDUAL: fruta + verdura + proteína,764,,,2026-02-13,dilmun
COMBO CHICO huevo + frutas + verduras,375,4.5,kg,2026-02-13,dilmun
COMBO GRANDE huevo + frutas + verduras,638,8.3,kg,2026-02-13,dilmun
Fresa natural,99,454,g,2026-02-13,dilmun
Blueberry,62,170,g,2026-02-13,dilmun
Zarzamora,51,170,g,2026-02-13,dilmun
Frambuesa,69,170,g,2026-02-13,dilmun
Blueberry orgánico congelado,130,500,g,2026-02-13,dilmun
Manzana gala importada,34,500,g,2026-02-13,dilmun
Manzana golden importada,36,500,g,2026-02-13,dilmun
Zanahoria orgánica,39,450,g,2026-02-13,dilmun
Zanahoria agroecológica baby mix,62,500,g,2026-02-13,dilmun
Zanahoria,11.3,500,g,2026-02-13,dilmun
Aguacate Hass agroecológico,51,500,g,2026-02-13,dilmun
Corazones de apio orgánico,32,450,g,2026-02-13,dilmun
Kale agroecológico,43,250,g,2026-02-13,dilmun
Pak choi agroecológico,45,1,g,2026-02-13,dilmun
Betabel,16,500,g,2026-02-13,dilmun
Calabaza italiana,16.3,500,g,2026-02-13,dilmun
Ajo blanco,42,250,g,2026-02-13,dilmun
Ajo orgánico,45.5,120,g,2026-02-13,dilmun
Cebolla morada orgánica,66.5,700,g,2026-02-13,dilmun
Cebolla morada,13,500,g,2026-02-13,dilmun
Cebolla blanca orgánica,59,700,g,2026-02-13,dilmun
Cebolla blanca,10.6,500,g,2026-02-13,dilmun
Seta gris agroecológica,83,250,g,2026-02-13,dilmun
Champiñón blanco,35,250,g,2026-02-13,dilmun
Chayote sin espinas,20,500,g,2026-02-13,dilmun
Brocoli,22,1,g,2026-02-13,dilmun
Elote blanco entero,13,1,pza,2026-02-13,dilmun
Ejote,27,500,g,2026-02-13,dilmun
Cúrcuma,24,250,g,2026-02-13,dilmun
Jengibre,48,250,g,2026-02-13,dilmun
Jitomate heirloom agroecológico,129,1,kg,2026-02-13,dilmun
Jitomate cherry mix colores agroecológico,99,500,g,2026-02-13,dilmun
Jitomate saladette agroecológico,26,500,g,2026-02-13,dilmun
Tomate verde orgánico,51,450,g,2026-02-13,dilmun
Tomate verde limpio,12,500,g,2026-02-13,dilmun
Espinacas,13,1,manojo,2026-02-13,dilmun
Espinaca orgánica lista para comer,79,180,g,2026-02-13,dilmun
Nopal mediano,4,1,pza,2026-02-13,dilmun
Camote amarillo,31.5,1,g,2026-02-13,dilmun
Papa orgánica,102,1,kg,2026-02-13,dilmun
Papa alfa,17.6,500,g,2026-02-13,dilmun
Pepino,15,1,g,2026-02-13,dilmun
Pepino orgánico s,35,2,g,2026-02-13,dilmun
Pimiento morrón mini orgánico,69,350,g,2026-02-13,dilmun
Pimiento amarillo,17,1,pza,2026-02-13,dilmun
Pimiento naranja,17,1,pza,2026-02-13,dilmun
Pimiento rojo,17,1,pza,2026-02-13,dilmun
Pimiento verde,17,1,pza,2026-02-13,dilmun
Chile serrano,17,250,g,2026-02-13,dilmun
Cilantro,9,1,manojo,2026-02-13,dilmun
Perejil,9.5,1,manojo,2026-02-13,dilmun
Flor de jamaica orgánica,79,100,g,2026-02-13,dilmun
Acelgas Verde Temoaya,28,150,g,2026-02-13,consuma
Aguacate Hass,67,500,g,2026-02-13,consuma
Albahaca,29,100,g,2026-02-13,consuma
Alcachofa,68,1,pza,2026-02-13,consuma
Apio,35,,,2026-02-13,consuma
Arúgula Temoaya,43,,,2026-02-13,consuma
Berenjena ,36,1,pza,2026-02-13,consuma
Berros,30,1,manojo,2026-02-13,consuma
Betabel,16,1,pza,2026-02-13,consuma
Blueberries,74,170,g,2026-02-13,consuma
Brocoli,23,1,pza,2026-02-13,consuma
Cabeza de ajo,20,1,cabeza,2026-02-13,consuma
Calabacitas,24,500,g,2026-02-13,consuma
Camote,86,1,kg,2026-02-13,consuma
Camote morado,98,1,kg,2026-02-13,consuma
Canasta de frutas y verduras agroecológicas,265,10,kg,2026-02-13,consuma
Cebolla Blanca Temoaya,20,1,pza,2026-02-13,consuma
Cebolla cambray,28,200,manojo,2026-02-13,consuma
Cebolla Morada Temoaya,23,1,pza,2026-02-13,consuma
Champiñones,68,500,g,2026-02-13,consuma
Chayote,20,1,pza,2026-02-13,consuma
Chicharo,64,1,kg,2026-02-13,consuma
Chile jalapeño,17,100,g,2026-02-13,consuma
Chile Poblano Temoaya,38,500,g,2026-02-13,consuma
Chile serrano,17,100,g,2026-02-13,consuma
Cilantro,17,1,manojo,2026-02-13,consuma
Col Temoaya,43,1,pza,2026-02-13,consuma
Col Morada Temoaya,43,1,pza,2026-02-13,consuma
Coles de Bruselas,59,500,g,2026-02-13,consuma
Coliflor,43,1,pza,2026-02-13,consuma
Cúrcuma,37.5,100,g,2026-02-13,consuma
Ejote,33,500,g,2026-02-13,consuma
Elote Temoaya,20,1,pza,2026-02-13,consuma
Eneldo,25,1,manojo,2026-02-13,consuma
Espárragos,63,250,g,2026-02-13,consuma
Espinaca,25,1,manojo,2026-02-13,consuma
Frambuesas orgánicas,74,170,g,2026-02-13,consuma
Fresas orgánicas,90,454,g,2026-02-13,consuma
Guayaba criolla,26,500,g,2026-02-13,consuma
Habas Verdes,26,500,g,2026-02-13,consuma
Higos,86,450,g,2026-02-13,consuma
Huauzontle aprox,35,500,g,2026-02-13,consuma
Huitlacoche,32,250,g,2026-02-13,consuma
Jícama,22,1,pza,2026-02-13,consuma
Jitomate,28,500,g,2026-02-13,consuma
Jitomate Bola,43,500,g,2026-02-13,consuma
Jitomate Cherry,46,280,g,2026-02-13,consuma
Kale Temoaya,35,1,manojo,2026-02-13,consuma
LECHUGA FRANCESA BABY pequeña,36,1,pza,2026-02-13,consuma
LECHUGA FRANCESA Temoaya,36,,,2026-02-13,consuma
LECHUGA ITALIANA BABY pequeña,36,1,pza,2026-02-13,consuma
LECHUGA ITALIANA Temoaya,36,,,2026-02-13,consuma
