product_name,price,quantity,unit,date,seller
Betabel,39.9,1,kg,2026-01-28,walmart
Calabaza japonesa,49.9,1,kg,2026-01-28,walmart
Camote amarillo,99,1,kg,2026-01-28,walmart
Papa blanca alfa,34.9,1,kg,2026-01-28,walmart
Cebolla Blanca,27.9,1,kg,2026-01-28,walmart
Camote de azafrán,54,1,kg,2026-01-28,walmart
Ejote Marketside corte francés,69,450,g,2026-01-28,walmart
Cebolla morada,34,1,kg,2026-01-28,walmart
Cebolla blanca en malla,23.5,1,kg,2026-01-28,walmart
Camote amarillo en malla,95,1,pza,2026-01-28,walmart
Camote morado,99,1,kg,2026-01-28,walmart
Yuca,89,1,kg,2026-01-28,walmart
Poro,49.9,1,kg,2026-01-28,walmart
Papa cambray,49.9,1,kg,2026-01-28,walmart
Papa en malla,25.9,1,kg,2026-01-28,walmart
Semillas Rancho Los Molinos Vita Cebolla Blanca,30,,,2026-01-28,walmart
Papa alfa chica,39.9,1,kg,2026-01-28,walmart
Echalote,59,100,g,2026-01-28,walmart
Papa Little Potato amarilla,99,680,g,2026-01-28,walmart
Cebolla morada orgánica Campo Vivo,66,700,g,2026-01-28,walmart
Cebolla orgánica Marketside,59,700,g,2026-01-28,walmart
Cebolla en trozo McCormick,34,58,g,2026-01-28,walmart
Champiñones,108,1,kg,2026-01-28,walmart
Espárrago verde por manojo,119,,g,2026-01-28,walmart
Floretes de brócoli Marketside,36.9,454,g,2026-01-28,walmart
Crema Campbell's de champiñones,49,420,g,2026-01-28,walmart
Brócoli,59,1,kg,2026-01-28,walmart
Crema Campbell's de champiñones,39,300,g,2026-01-28,walmart
Crema Campbell's de pollo con champiñones,49,420,g,2026-01-28,walmart
Mezcla de vegetales Marketside,39.9,454,g,2026-01-28,walmart
Crema Campbell's de champiñones,74,735,g,2026-01-28,walmart
Crema Knorr de champiñon 500 ml,44,500,,2026-01-28,walmart
"Fiudx Rebanador de Acero Inoxidable, Nucleador de Azufaifo Multifuncional, Cortador Preciso de Fresas y Kiwi, Herramienta para Cortar Champiñones de Fácil Limpieza, Preparación de Alimentos En La Coc",105.23,1,pza,2026-01-28,walmart
Champiñon entero Monte Blanco,42.9,225,g,2026-01-28,walmart
Champiñón rebanado Monteblanco,42.9,225,g,2026-01-28,walmart
Champiñones Herdez en escabeche,42,380,g,2026-01-28,walmart
"Xihbxyly Rebanadora de Acero Inoxidable, Versátil Cortadora de Fiambres, Eficiente Cortadora de Frutas, Duradera Cortadora de Jamón y Salchichas, Preparación Rápida de Huevos y Champiñones, Esencial",106.99,,,2026-01-28,walmart
Champiñones Great Value trozos en salmuera,32,380,g,2026-01-28,walmart
Hongos shiitake gourmet Monteblanco,61,160,g,2026-01-28,walmart
Champiñones Herdez rebanados,21,186,g,2026-01-28,walmart
Portabella Monte Blanco entero,47.9,250,g,2026-01-28,walmart
Seta Monteblanco,46.9,250,g,2026-01-28,walmart
Champiñón baby bella Monteblanco,129,1,kg,2026-01-28,walmart
Champiñones Great Value rebanados en salmuera,14.5,186,g,2026-01-28,walmart
Hongos portabella enteros Monte Blanco,88,500,g,2026-01-28,walmart
"Wosthever s de cepillo para frutas y verduras, fregador de plástico para patatas, champiñones, protección de manos, herramienta de Cocina y Comedor",263.47,3,pza,2026-01-28,walmart
Hongos cremini rebanado Monte Blanco,42.9,225,g,2026-01-28,walmart
"Divisor de rebanador de huevos, separador de frutas para cortar champiñones y de y plátano, accesorios de cocina para frutas Negro Soledad Rebanador de huevo",211,,g,2026-01-28,walmart
Hongos cremini entero Monteblanco,42.9,225,g,2026-01-28,walmart
Germinado de brócoli San Francisco Cultivos Naturales,54,200,g,2026-01-28,walmart
"Billuyoard Estatua de hongo para manualidades, de jardín para adorno de patio, 3 cabezas de champiñones Type1",1472.1,3,g,2026-01-28,walmart
"Billuyoard Estatua de hongo para manualidades, de jardín para adorno de patio, 3 cabezas de champiñones Cabeza de 3 Hongos 2Conjunto",1187.36,3,g,2026-01-28,walmart
Estatua de hongo para manualidades Billuyoard 3 cabezas de champiñones,604.43,3,g,2026-01-28,walmart
Cepillo para Frutas y Verduras Yuarrent s Fregador de Plástico para Patatas Champiñones,372.22,3,pza,2026-01-28,walmart
"Naiovety Prácticas herramientas de costura de con forma de hongo para zurcir, juego de champiñones rojos para zurcir Type2 NO2",1160.64,2,g,2026-01-28,walmart
Lindo Mini Champiñón de Champiñones teclado de escritorio aspiradora de polvo de polvo barredora nuevo rojo,316,,,2026-01-28,walmart
"Naiovety Prácticas herramientas de costura de con forma de hongo para zurcir, juego de champiñones rojos para zurcir Type1 NO1",769.62,1,g,2026-01-28,walmart
Estatua de hongo Bewildely para manualidades de jardín adorno de patio 3 cabezas de champiñones,1609.6,3,g,2026-01-28,walmart
Salsa de tomate Campbell's Prego estilo italiana para pastas con champiñones,50,397,g,2026-01-28,walmart
Salsa de tomate Barilla con champiñones,55,400,g,2026-01-28,walmart
Lámpara de mesa Lámpara decoración de la lámpara de cama creativa Modern de luz caliente Luz de escritorio de champiñones para el regalo de regalo de amarillo,948.37,,g,2026-01-28,walmart
"Toystoory s de cepillo para verduras y frutas, zanahoria, patata, champiñones, depurador de plástico, protección de manos, herramienta Cocina y Comedor",263.47,3,pza,2026-01-28,walmart
Chile Serrano,79,1,kg,2026-01-28,walmart
Chile Jalapeño,13.9,1,kg,2026-01-28,walmart
Pimiento morrón Marketside semáforo as,64,3,pza,2026-01-28,walmart
Diente de ajo,54,200,g,2026-01-28,walmart
Ajo orgánico Marketside,44.9,120,g,2026-01-28,walmart
Chile de árbol Don Zabor,15,50,g,2026-01-28,walmart
Chile Caribe,119,1,kg,2026-01-28,walmart
Chile ancho Don Zabor,40,100,g,2026-01-28,walmart
Chile chipotle seco Great Value,32,100,g,2026-01-28,walmart
Chile morita seco Don Zabor,16,75,g,2026-01-28,walmart
Ajo en Malla s,42.9,3,pza,2026-01-28,walmart
Chile pasilla Don Zabor,35,100,g,2026-01-28,walmart
Ajo negro,86,1,g,2026-01-28,walmart
Chile chipotle Don Zabor,22,75,g,2026-01-28,walmart
Pimiento naranja,89,1,kg,2026-01-28,walmart
Ajo japonés,66,80,g,2026-01-28,walmart
Pimiento amarillo,89,1,kg,2026-01-28,walmart
Echalote,59,100,g,2026-01-28,walmart
Pimiento verde y amarillo Sunset 2 pack,49.9,2,g,2026-01-28,walmart
Pimiento Shishito Sunset,52,227,g,2026-01-28,walmart
Pimiento verde y naranja Sunset 2 pack,49.9,2,g,2026-01-28,walmart
Ajo grande Valle Alto en malla s,59,4,g,2026-01-28,walmart
Papa orgánica Campo Vivo en malla,86,1,g,2026-01-28,walmart
Chile de Árbol verde,174,1,kg,2026-01-28,walmart
Tomates NatureSweet Constellation,72,467,g,2026-01-28,walmart
Jitomate saladet,14.9,1,kg,2026-01-28,walmart
Tomates NatureSweet Cherubs,44.9,283,g,2026-01-28,walmart
Tomate uva Naturesweet Cherubs,79,467,g,2026-01-28,walmart
Tomate Verde sin cáscara,59,1,kg,2026-01-28,walmart
Aguacate Hass,47.9,1,kg,2026-01-28,walmart
Tomates Naturesweet Glorys,44.9,283,g,2026-01-28,walmart
Elote Dulce Sweet Corn s,59,3,pza,2026-01-28,walmart
Papa blanca alfa,34.9,1,kg,2026-01-28,walmart
Tomate cherry NatureSweet Glorys,79,467,g,2026-01-28,walmart
Ejote,69,1,kg,2026-01-28,walmart
Diente de ajo,54,200,g,2026-01-28,walmart
Nopales en salmuera Flor Azteca en tira,54,1,kg,2026-01-28,walmart
Mezcla de vegetales Marketside,39.9,454,g,2026-01-28,walmart
Aguacate hass orgánico Marketside en malla,89,800,g,2026-01-28,walmart
Papa cambray,49.9,1,kg,2026-01-28,walmart
Nopal limpio,42.9,1,kg,2026-01-28,walmart
Nopal en tira empacado,44.9,1,kg,2026-01-28,walmart
Ajo en Malla s,42.9,3,pza,2026-01-28,walmart
Ajo japonés,66,80,g,2026-01-28,walmart
Papa alfa chica,39.9,1,kg,2026-01-28,walmart
Nopal Cambray empacado,69,1,kg,2026-01-28,walmart
Echalote,59,100,g,2026-01-28,walmart
Tomatillo,56,1,kg,2026-01-28,walmart
Jitomate cocktail orgánico Campo Vivo mezcla de jitomates cherry,59,280,g,2026-01-28,walmart
"4x de Housheold, cebolla, tomates, de reutilizable, herramienta para , verduras, , accesorios, , s",456.38,4,pza,2026-01-28,walmart
Tomates Sunset Campari,48.9,454,g,2026-01-28,walmart
Tomate Marketside cherry,39.9,283,g,2026-01-28,walmart
Tomate NatureSweet Cherubs to go,24.9,71,g,2026-01-28,walmart
Tomate verde orgánico Campo Vivo,54,450,g,2026-01-28,walmart
Jitomate uva Tierra y Sabor,38.9,280,g,2026-01-28,walmart
Tomate NatureSweet Constellation to go,24.9,71,g,2026-01-28,walmart
Chilacayote,69,1,kg,2026-01-28,walmart
Jitomate cherry orgánico Campo Vivo,52,280,g,2026-01-28,walmart
Tomate Marketside uva,39.9,283,g,2026-01-28,walmart
Jitomate uva orgánico Campo Vivo,55,280,g,2026-01-28,walmart
"Fotbe Fruits And Vegetables Men's Camiseta sin Mangas Estampada para Hombres, Playera Casual para Gimnasio, Entrenamiento, Playa-XX-Large",499.75,,g,2026-01-28,walmart
Pontino Cilantro amos s,305.15,105,g,2026-01-28,walmart
Cilantro,9,1,pza,2026-01-28,walmart
Cilantro Vegetalistos,24.9,100,g,2026-01-28,walmart
Alpont Cilantro amos s,366.35,120,g,2026-01-28,walmart
Hierbabuena,14.9,1,pza,2026-01-28,walmart
Epazote,14.9,1,pza,2026-01-28,walmart
Alpont Cilantro amos s,134.3,14,g,2026-01-28,walmart
Lechuga romana,24.9,1,pza,2026-01-28,walmart
Maceta Orgánica Vita Cilantro,18,,g,2026-01-28,walmart
Pontino Semilla De Cilantro Molida amos s,364.65,315,g,2026-01-28,walmart
Hoja de Plátano,49.9,1,pza,2026-01-28,walmart
Alpont Semilla De Cilantro Molida amos s,328.1,365,g,2026-01-28,walmart
Mezcla de hojas superfood 5 Vegetalistos,42,5,g,2026-01-28,walmart
Pontino Perejil amos s,126.65,14,g,2026-01-28,walmart
Manzanilla,14.9,1,pza,2026-01-28,walmart
Lechuga italiana Eva hidropónica,39.9,1,g,2026-01-28,walmart
Espinaca baby Marketside,52,250,g,2026-01-28,walmart
Huauzontle,69,1,kg,2026-01-28,walmart
Apio,36.9,1,kg,2026-01-28,walmart
Pontino Semilla De Cilantro amos s,302.6,135,g,2026-01-28,walmart
Espinaca Marketside,52,280,g,2026-01-28,walmart
Lechuga Hidropónica EVA sweet crunchy s,52,2,g,2026-01-28,walmart
Alpont Semilla De Cilantro Molida amos s,141.1,40,g,2026-01-28,walmart
Corazones de apio orgánicos Marketside,39.9,454,g,2026-01-28,walmart
Alpont Semilla De Cilantro amos s,120.7,23,g,2026-01-28,walmart
Lechuga francesa Eva hidropónica,39.9,1,g,2026-01-28,walmart
Lechuga mini romaine Eva hidropónica,46.9,2,g,2026-01-28,walmart
Té de limón,14.9,1,pza,2026-01-28,walmart
Alpont Perejil amos s,134.3,15,g,2026-01-28,walmart
Corazones de lechuga orgánica Marketside,41.9,300,g,2026-01-28,walmart
Col blanca,24.9,1,kg,2026-01-28,walmart
Lechuga mini francesa Eva hidropónica s,46.9,2,g,2026-01-28,walmart
Romero macho,14.9,1,pza,2026-01-28,walmart
Cebollín,14.9,1,pza,2026-01-28,walmart
Perejil liso,10.9,1,pza,2026-01-28,walmart
Acelga,12.9,1,pza,2026-01-28,walmart
Lechuga orejona,26.9,1,pza,2026-01-28,walmart
Lechuga trío Eva hidropónica,46.9,1,g,2026-01-28,walmart
Malanga,59,1,kg,2026-01-28,walmart
Espinaca orgánica Campo Vivo,81,180,g,2026-01-28,walmart
Zanahoria baby Vegetalistos,34.9,340,g,2026-01-28,walmart
Zanahoria baby Vegetalistos,19.9,150,g,2026-01-28,walmart
Zanahoria,14.9,1,kg,2026-01-28,walmart
Chile poblano,74,1,kg,2026-01-28,walmart
Pepino,24,1,kg,2026-01-28,walmart
Mezcla de vegetales Marketside,39.9,454,g,2026-01-28,walmart
Jícama Vegetalistos,39.9,454,g,2026-01-28,walmart
Zanahoria baby Bolthouse Farms,29,340,g,2026-01-28,walmart
Zanahoria rallada Vegetalistos,29.9,340,g,2026-01-28,walmart
Pepino orgánico Marketside,41.9,700,g,2026-01-28,walmart
Zanahoria selecta en charola,26.9,454,g,2026-01-28,walmart
Zanahoria orgánica Campo Vivo,52,450,g,2026-01-28,walmart
